geo,time,income_group,population
ago,1963,60,0.0
ago,1964,60,0.0
ago,1964,62,1.0
ago,1965,60,0.0
ago,1965,62,1.0
ago,1966,60,0.0
ago,1966,62,1.0
ago,1967,60,0.0
ago,1967,62,1.0
ago,1968,60,0.0
ago,1968,62,1.0
ago,1969,60,0.0
ago,1969,62,1.0
ago,1970,60,0.0
ago,1970,62,1.0
ago,1971,60,0.0
ago,1971,62,1.0
ago,1972,60,0.0
ago,1972,62,1.0
ago,1973,60,0.0
ago,1973,62,1.0
ago,1974,60,0.0
ago,1974,62,1.0
ago,1975,60,0.0
ago,1975,62,1.0
ago,1976,60,0.0
ago,1976,62,1.0
ago,1977,60,0.0
ago,1977,62,1.0
ago,1978,60,0.0
ago,1978,62,1.0
ago,1979,60,0.0
ago,1979,62,1.0
ago,1980,60,0.0
ago,1980,62,1.0
ago,1981,60,0.0
ago,1981,62,1.0
ago,1982,60,0.0
ago,1982,62,1.0
ago,1983,60,0.0
ago,1983,62,1.0
ago,1984,60,0.0
ago,1984,62,1.0
ago,1985,60,0.0
ago,1985,62,1.0
ago,1986,60,0.0
ago,1986,62,1.0
ago,1987,60,0.0
ago,1987,62,1.0
ago,1988,60,0.0
ago,1988,62,1.0
ago,1989,60,0.0
ago,1989,62,1.0
ago,1990,60,0.0
ago,1990,62,1.0
ago,1991,60,0.0
ago,1991,62,1.0
ago,1992,60,0.0
ago,1992,62,1.0
ago,1993,60,0.0
ago,1993,62,1.0
ago,1994,60,0.0
ago,1994,62,1.0
ago,1995,60,0.0
ago,1995,62,1.0
ago,1996,60,0.0
ago,1996,62,1.0
ago,1997,60,0.0
ago,1997,62,1.0
ago,1998,60,0.0
ago,1998,62,1.0
ago,1999,60,0.0
ago,1999,62,1.0
ago,2000,60,0.0
ago,2000,62,1.0
ago,2001,60,0.0
ago,2001,62,1.0
ago,2002,60,0.0
ago,2002,62,1.0
ago,2003,60,0.0
ago,2003,62,1.0
ago,2004,60,0.0
ago,2004,62,1.0
ago,2005,60,0.0
ago,2005,62,1.0
ago,2006,60,0.0
ago,2006,62,1.0
ago,2007,60,0.0
ago,2007,62,1.0
ago,2008,60,0.0
ago,2008,62,1.0
ago,2009,60,0.0
ago,2009,62,1.0
ago,2010,60,0.0
ago,2010,62,1.0
ago,2011,60,0.0
ago,2011,62,1.0
ago,2012,60,0.0
ago,2012,62,1.0
ago,2013,60,1.0
ago,2013,62,1.0
ago,2014,60,0.0
ago,2014,62,1.0
ago,2015,60,0.0
ago,2015,62,1.0
ago,2016,60,0.0
ago,2016,62,1.0
ago,2017,60,0.0
ago,2017,62,1.0
ago,2018,60,0.0
ago,2018,61,1.0
ago,2018,62,1.0
ago,2019,60,1.0
ago,2019,62,1.0
ago,2020,58,1.0
ago,2020,60,0.0
ago,2020,62,1.0
ago,2021,60,0.0
ago,2021,62,1.0
ago,2022,60,0.0
ago,2022,62,1.0
ago,2023,60,0.0
ago,2023,62,1.0
ago,2024,60,0.0
ago,2024,62,1.0
ago,2025,60,0.0
ago,2025,62,1.0
ago,2026,60,0.0
ago,2026,62,1.0
ago,2027,60,0.0
ago,2027,62,1.0
ago,2028,60,0.0
ago,2028,62,1.0
ago,2029,60,0.0
ago,2029,62,1.0
ago,2030,60,0.0
ago,2030,62,1.0
ago,2031,60,0.0
ago,2031,62,1.0
ago,2032,60,0.0
ago,2032,62,1.0
ago,2033,60,0.0
ago,2033,62,1.0
ago,2034,60,0.0
ago,2034,62,1.0
ago,2035,60,0.0
ago,2035,62,1.0
ago,2036,60,0.0
ago,2036,62,1.0
ago,2037,60,0.0
ago,2037,62,1.0
ago,2038,60,0.0
ago,2038,62,1.0
ago,2039,60,0.0
ago,2039,62,1.0
ago,2040,60,0.0
ago,2040,62,1.0
ago,2041,60,0.0
ago,2041,62,1.0
ago,2042,60,0.0
ago,2042,62,1.0
ago,2043,60,0.0
ago,2043,62,1.0
ago,2044,60,0.0
ago,2044,62,1.0
ago,2045,60,0.0
ago,2045,62,1.0
ago,2046,60,0.0
ago,2046,62,1.0
ago,2047,60,0.0
ago,2047,62,1.0
ago,2048,60,0.0
ago,2048,62,1.0
ago,2049,60,0.0
ago,2049,62,1.0
ago,2050,60,0.0
ago,2050,62,1.0
ago,2051,60,0.0
ago,2051,62,1.0
ago,2052,60,0.0
ago,2052,62,1.0
ago,2053,60,0.0
ago,2053,62,1.0
ago,2054,60,0.0
ago,2054,62,1.0
ago,2055,60,0.0
ago,2055,62,1.0
ago,2056,60,0.0
ago,2056,62,1.0
ago,2057,60,0.0
ago,2057,62,1.0
ago,2058,60,0.0
ago,2058,62,1.0
ago,2059,60,0.0
ago,2059,62,1.0
ago,2060,60,0.0
ago,2060,62,1.0
ago,2061,60,0.0
ago,2061,62,1.0
ago,2062,60,0.0
ago,2062,62,1.0
ago,2063,60,0.0
ago,2063,62,1.0
ago,2064,60,0.0
ago,2064,62,1.0
ago,2065,60,0.0
ago,2065,62,1.0
ago,2066,60,0.0
ago,2066,62,1.0
ago,2067,60,0.0
ago,2068,60,0.0
are,1952,59,0.0
are,1952,60,0.0
are,1952,61,0.0
are,1953,59,0.0
are,1953,60,0.0
are,1953,61,0.0
are,1954,59,0.0
are,1954,60,0.0
are,1954,61,0.0
are,1954,63,0.0
are,1955,59,0.0
are,1955,60,0.0
are,1955,61,0.0
are,1955,63,0.0
are,1956,58,0.0
are,1956,59,0.0
are,1956,60,0.0
are,1956,61,0.0
are,1956,62,0.0
are,1956,63,0.0
are,1956,64,0.0
are,1956,65,1.0
are,1957,58,0.0
are,1957,59,0.0
are,1957,60,0.0
are,1957,61,0.0
are,1957,62,0.0
are,1957,63,0.0
are,1957,64,0.0
are,1957,65,1.0
are,1957,66,1.0
are,1958,58,0.0
are,1958,59,0.0
are,1958,60,0.0
are,1958,61,0.0
are,1958,62,0.0
are,1958,63,0.0
are,1958,64,0.0
are,1958,65,1.0
are,1958,66,1.0
are,1959,58,0.0
are,1959,59,0.0
are,1959,60,0.0
are,1959,61,0.0
are,1959,62,0.0
are,1959,63,0.0
are,1959,64,0.0
are,1959,65,1.0
are,1959,66,1.0
are,1960,58,0.0
are,1960,59,0.0
are,1960,60,0.0
are,1960,61,0.0
are,1960,62,0.0
are,1960,63,0.0
are,1960,64,0.0
are,1960,65,1.0
are,1960,66,1.0
are,1961,58,0.0
are,1961,59,0.0
are,1961,60,0.0
are,1961,61,0.0
are,1961,62,0.0
are,1961,63,0.0
are,1961,64,0.0
are,1961,65,1.0
are,1961,66,1.0
are,1962,58,0.0
are,1962,59,0.0
are,1962,60,0.0
are,1962,61,0.0
are,1962,62,0.0
are,1962,63,0.0
are,1962,64,0.0
are,1962,65,1.0
are,1962,66,1.0
are,1963,58,0.0
are,1963,59,0.0
are,1963,60,0.0
are,1963,61,0.0
are,1963,62,0.0
are,1963,63,0.0
are,1963,64,0.0
are,1963,65,1.0
are,1963,66,1.0
are,1964,58,0.0
are,1964,59,0.0
are,1964,60,0.0
are,1964,61,0.0
are,1964,62,0.0
are,1964,63,0.0
are,1964,64,0.0
are,1964,65,1.0
are,1964,66,1.0
are,1965,58,0.0
are,1965,59,0.0
are,1965,60,0.0
are,1965,61,0.0
are,1965,62,0.0
are,1965,63,0.0
are,1965,64,0.0
are,1965,65,1.0
are,1965,66,1.0
are,1966,58,0.0
are,1966,59,0.0
are,1966,60,0.0
are,1966,61,0.0
are,1966,62,0.0
are,1966,63,0.0
are,1966,64,0.0
are,1966,65,1.0
are,1966,66,1.0
are,1967,58,0.0
are,1967,59,0.0
are,1967,60,0.0
are,1967,61,0.0
are,1967,62,0.0
are,1967,63,0.0
are,1967,64,0.0
are,1967,65,1.0
are,1967,66,1.0
are,1968,58,0.0
are,1968,59,0.0
are,1968,60,0.0
are,1968,61,0.0
are,1968,62,0.0
are,1968,63,0.0
are,1968,64,0.0
are,1968,65,1.0
are,1968,66,1.0
are,1969,58,0.0
are,1969,59,0.0
are,1969,60,0.0
are,1969,61,0.0
are,1969,62,0.0
are,1969,63,0.0
are,1969,64,0.0
are,1969,65,1.0
are,1969,66,1.0
are,1970,58,0.0
are,1970,59,0.0
are,1970,60,0.0
are,1970,61,0.0
are,1970,62,0.0
are,1970,63,0.0
are,1970,64,0.0
are,1970,65,1.0
are,1970,66,1.0
are,1971,58,0.0
are,1971,59,0.0
are,1971,60,0.0
are,1971,61,0.0
are,1971,62,0.0
are,1971,63,0.0
are,1971,64,0.0
are,1971,65,1.0
are,1971,66,1.0
are,1971,67,1.0
are,1972,58,0.0
are,1972,59,0.0
are,1972,60,0.0
are,1972,61,0.0
are,1972,62,0.0
are,1972,63,0.0
are,1972,64,0.0
are,1972,65,1.0
are,1972,66,1.0
are,1972,67,1.0
are,1973,58,0.0
are,1973,59,0.0
are,1973,60,0.0
are,1973,61,0.0
are,1973,62,0.0
are,1973,63,0.0
are,1973,64,0.0
are,1973,65,1.0
are,1973,66,1.0
are,1973,67,1.0
are,1974,58,0.0
are,1974,59,0.0
are,1974,60,0.0
are,1974,61,0.0
are,1974,62,0.0
are,1974,63,0.0
are,1974,64,0.0
are,1974,65,1.0
are,1974,66,1.0
are,1974,67,1.0
are,1975,58,0.0
are,1975,59,0.0
are,1975,60,0.0
are,1975,61,0.0
are,1975,62,0.0
are,1975,63,0.0
are,1975,64,0.0
are,1975,65,1.0
are,1975,66,1.0
are,1975,67,1.0
are,1976,58,0.0
are,1976,59,0.0
are,1976,60,0.0
are,1976,61,0.0
are,1976,62,0.0
are,1976,63,0.0
are,1976,64,0.0
are,1976,65,1.0
are,1976,66,1.0
are,1976,67,1.0
are,1977,58,0.0
are,1977,59,0.0
are,1977,60,0.0
are,1977,61,0.0
are,1977,62,0.0
are,1977,63,0.0
are,1977,64,0.0
are,1977,65,1.0
are,1977,66,1.0
are,1977,67,1.0
are,1978,58,0.0
are,1978,59,0.0
are,1978,60,0.0
are,1978,61,0.0
are,1978,62,0.0
are,1978,63,0.0
are,1978,64,0.0
are,1978,65,1.0
are,1978,66,1.0
are,1978,67,1.0
are,1979,58,0.0
are,1979,59,0.0
are,1979,60,0.0
are,1979,61,0.0
are,1979,62,0.0
are,1979,63,0.0
are,1979,64,0.0
are,1979,65,1.0
are,1979,66,1.0
are,1979,67,1.0
are,1980,58,0.0
are,1980,59,0.0
are,1980,60,0.0
are,1980,61,0.0
are,1980,62,0.0
are,1980,63,0.0
are,1980,64,0.0
are,1980,65,1.0
are,1980,66,1.0
are,1980,67,1.0
are,1981,58,0.0
are,1981,59,0.0
are,1981,60,0.0
are,1981,61,0.0
are,1981,62,0.0
are,1981,63,0.0
are,1981,64,0.0
are,1981,65,1.0
are,1981,66,1.0
are,1981,67,1.0
are,1982,58,0.0
are,1982,59,0.0
are,1982,60,0.0
are,1982,61,0.0
are,1982,62,0.0
are,1982,63,0.0
are,1982,64,0.0
are,1982,65,1.0
are,1982,66,1.0
are,1982,67,1.0
are,1983,58,0.0
are,1983,59,0.0
are,1983,60,0.0
are,1983,61,0.0
are,1983,62,0.0
are,1983,63,0.0
are,1983,64,0.0
are,1983,65,1.0
are,1983,66,1.0
are,1983,67,1.0
are,1984,58,0.0
are,1984,59,0.0
are,1984,60,0.0
are,1984,61,0.0
are,1984,62,0.0
are,1984,63,0.0
are,1984,64,0.0
are,1984,65,1.0
are,1984,66,1.0
are,1984,67,1.0
are,1985,58,0.0
are,1985,59,0.0
are,1985,60,0.0
are,1985,61,0.0
are,1985,62,0.0
are,1985,63,0.0
are,1985,64,0.0
are,1985,65,1.0
are,1985,66,1.0
are,1985,67,1.0
are,1986,58,0.0
are,1986,59,0.0
are,1986,60,0.0
are,1986,61,0.0
are,1986,62,0.0
are,1986,63,0.0
are,1986,64,0.0
are,1986,65,1.0
are,1986,66,1.0
are,1986,67,1.0
are,1987,58,0.0
are,1987,59,0.0
are,1987,60,0.0
are,1987,61,0.0
are,1987,62,0.0
are,1987,63,0.0
are,1987,64,0.0
are,1987,65,1.0
are,1987,66,1.0
are,1987,67,1.0
are,1988,58,0.0
are,1988,59,0.0
are,1988,60,0.0
are,1988,61,0.0
are,1988,62,0.0
are,1988,63,0.0
are,1988,64,0.0
are,1988,65,1.0
are,1988,66,1.0
are,1988,67,1.0
are,1989,58,0.0
are,1989,59,0.0
are,1989,60,0.0
are,1989,61,0.0
are,1989,62,0.0
are,1989,63,0.0
are,1989,64,0.0
are,1989,65,1.0
are,1989,66,1.0
are,1989,67,1.0
are,1990,58,0.0
are,1990,59,0.0
are,1990,60,0.0
are,1990,61,0.0
are,1990,62,0.0
are,1990,63,0.0
are,1990,64,0.0
are,1990,65,1.0
are,1990,66,1.0
are,1990,67,1.0
are,1991,58,0.0
are,1991,59,0.0
are,1991,60,0.0
are,1991,61,0.0
are,1991,62,0.0
are,1991,63,0.0
are,1991,64,0.0
are,1991,65,1.0
are,1991,66,1.0
are,1991,67,1.0
are,1992,58,0.0
are,1992,59,0.0
are,1992,60,0.0
are,1992,61,0.0
are,1992,62,0.0
are,1992,63,0.0
are,1992,64,0.0
are,1992,65,0.0
are,1992,66,1.0
are,1992,67,1.0
are,1993,58,0.0
are,1993,59,0.0
are,1993,60,0.0
are,1993,61,0.0
are,1993,62,1.0
are,1993,63,0.0
are,1993,64,0.0
are,1993,65,0.0
are,1993,66,1.0
are,1993,67,1.0
are,1994,58,0.0
are,1994,59,0.0
are,1994,60,0.0
are,1994,61,0.0
are,1994,62,1.0
are,1994,63,0.0
